"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"285","This year’s deadly flu made the quest for a universal flu shot more urgent: At least 40 different universal flu... https://t.co/xqfi1wkGFN",FALSE,0,NA,2018-03-06 17:16:09,FALSE,NA,"971071952994611200",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","TechKnowledgeIt",0,FALSE,FALSE,NA,NA
"286","This year’s deadly flu made the quest for a universal flu shot more urgent - At least 40 different universal flu va… https://t.co/eNlD6yNJQu",FALSE,1,NA,2018-03-06 17:15:43,TRUE,NA,"971071840289480706",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","chanceville",0,FALSE,FALSE,NA,NA
"287","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/b1BSegXphO via @verge https://t.co/f8dSdQazyN",FALSE,0,NA,2018-03-06 17:15:37,FALSE,NA,"971071818231562240",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","_dpaj",0,FALSE,FALSE,NA,NA
"288","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/kCTgPSB0KY https://t.co/JPNdoRY773",FALSE,0,NA,2018-03-06 17:15:18,FALSE,NA,"971071738065776641",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","techzonestation",0,FALSE,FALSE,NA,NA
"289","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/ZzPn99PSEl",FALSE,0,NA,2018-03-06 17:14:35,FALSE,NA,"971071558595858435",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","rafoleiro",0,FALSE,FALSE,NA,NA
"290","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/qHJx98wGUf https://t.co/AZaPSz9Fec",FALSE,0,NA,2018-03-06 17:14:34,FALSE,NA,"971071551599792128",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","sachiketi",0,FALSE,FALSE,NA,NA
"291","This year’s deadly flu made the quest for a universal flu shot more urgent: https://t.co/7i15Zk4LS3",FALSE,0,NA,2018-03-06 17:14:23,FALSE,NA,"971071505483354112",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","kangwoo10",0,FALSE,FALSE,NA,NA
"292","This year’s deadly #flu made the quest for a universal #flu shot more urgent #theverge https://t.co/gWw42XQT7q https://t.co/6V9hB5F29R",FALSE,0,NA,2018-03-06 17:14:21,FALSE,NA,"971071496687902720",NA,"<a href=""http://www.iero.org"" rel=""nofollow"">NewsKrunch</a>","gfabre_digital",0,FALSE,FALSE,NA,NA
"293","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/3LcDLUNb03",FALSE,0,NA,2018-03-06 17:14:13,FALSE,NA,"971071466686111745",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","pepemvalle",0,FALSE,FALSE,NA,NA
"294","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/SXu3xUBvey https://t.co/c7Mg64mFD3",FALSE,0,NA,2018-03-06 17:13:31,FALSE,NA,"971071288218476544",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","arnaudhacquin",0,FALSE,FALSE,NA,NA
